dialogue,human_summary,base_model_summary,full_finetune_summary,lora_summary
"#Person1#: Can I help you?
#Person2#: Yes, I want a pair of sport shoes, Jordan.
#Person1#: What size do you want?
#Person2#: Size 41.
#Person1#: Here you are.
#Person2#: They fit me. Can you make it a little cheaper?
#Person1#: It's already on sale now.",#Person2# wants a pair of Jordan shoes in size 41.,"#Person1#: I want a pair of sport shoes, Jordan.",#Person2# buys a pair of sport shoes from Jordan.,"#Person1#: I want a pair of sport shoes, Jordan."
"#Person1#: Come on, Let's go for lunch, Gregory . 
#Person2#: I was going to eat in, I'm short on cash. 
#Person1#: Don't worry about it. It's on me. 
#Person2#: In that case, I'm with you. Em. this is good . 
#Person1#: I agreed,Hi, guess what? I went bungee jumping last weekend. 
#Person2#: Are you on the up and up? 
#Person1#: Definitely. you know, I'm into serious sport in a big way. 
#Person2#: If you asked me, you've got a screw loose somewhere. 
#Person1#: come off it, It's not that serious. You should DIY, do it yourself, sometimes.
#Person2#: Fat chance, I'm too scared of bungee jumping. 
#Person1#: No, really, I think you'd like it. I adapted to it right off the bat. 
#Person2#: What did that have to do with me? I'm not the self-seeker like you. 
#Person1#: I can teach you how. 
#Person2#: I had a sneaking suspicion about you, Eric, I think you've lost it.
#Person1#: No, not really, but I think I have lost my wallet. Where can it be? ",Eric invites Gregory for lunch and they talk about bungee jumping Eric tried. Eric thinks Gregory should try it but Gregory doesn't think so.,#Person1: I lost my wallet. Where can I find it?,"Eric went bungee jumping last weekend but he's short on cash. Gregory tells him he can do it himself, but Eric thinks he has lost his wallet.","#Person1: I'm sorry, but I lost my wallet."
"#Person1#: Hi, Laura. Where are you heading with that big bag?
#Person2#: I'm off to the gym. I've got to stay in shape, you know.
#Person1#: I know more women who exercise than men. What's the main reason you do that? For your health, or to look good?
#Person2#: To be honest, for both. With women, good looks are always a very important consideration.
#Person1#: I see.
#Person2#: How about you? Do you get any regular exercise?
#Person1#: I do a lot of walking for exercise and enjoyment-sometimes ten to twenty kilometers at a time. But I never go to the gym like you do.
#Person2#: Well, walking is a good exercise. How about sports?
#Person1#: Not since my school days. I used to love playing baseball, but it's impossible to get enough people together for a game now. Mostly I just watch sports on TV
#Person2#: I play tennis fairly regularly with my friends and sometimes go swimming and cycling by myself.
#Person1#: Oh, I forgot about that. I go cycling sometimes too. And I often go swimming on vacation, but only recreational swimming.
#Person2#: Why don't you join me at the gym sometime?
#Person1#: Well, maybe someday, but I'm pretty lazy about things like that.","Laura comes across #Person1# on the way to the gym, and they stop to talk about exercise habits. Unlike Laura, #Person1# prefers other exercises over going to the gym.","Person1: Hi, Laura. Where are you going?",Laura tells #Person1# that she's going to the gym to stay in shape. #person2# tells Laura that walking is a good exercise and sports aren't since school days. Laura wants to join her at the gym someday.,"Person1: Hi, Laura. Where are you going?"
"#Person1#: Wow, you're up early today! What's for breakfast?
#Person2#: Well, I felt like baking, so I made some muffins.
#Person1#: Smells good! I'll make some coffee. Do you want me to make you some eggs?
#Person2#: Sure, I'll take mine, sunny side up.
#Person1#: Www, I don't know how you can eat your eggs like that! Ever since I was small, I have never liked sunny side up eggs.
#Person2#: You know, my dad had scrambled eggs every morning for twenty years. It drove my mom crazy!
#Person1#: You know what really drives me crazy? When I ask for soft boiled eggs, and they overcook them, so they come out hard boiled! How can you dip your toast into a hard boiled egg?
#Person2#: You're so picky sometimes.
#Person1#: Here you go, honey, fried eggs.
#Person2#: I said sunny side up! How many times do I have to tell you.",#Person1# and #Person2# are preparing breakfast. #Person1# hates overcooked boiled eggs while #Person2# hates scrambled eggs and prefers sunny-side-up ones.,Person1: I'm up early today. I'll make some muffins.,"#Person2# makes muffins, coffee, and fried eggs for breakfast. Then they talk about hard boiled eggs.","#Person1: I'm up early today, so I'll make some muffins and some coffee. Do you want me to make some eggs?"
"#Person1#: How may I help you?
#Person2#: I would like to return this book.
#Person1#: Is that all you need?
#Person2#: I also want to check out this video.
#Person1#: Is that all you would like to check out?
#Person2#: That's all I need.
#Person1#: Do you have your library card?
#Person2#: Here it is.
#Person1#: Make sure to take proper care of this video.
#Person2#: That won't be a problem.
#Person1#: If you damage the video, you will be fined.
#Person2#: I won't damage it.","with #Person1#'s help, #Person2# returns a book and checks out a video in the library.",#Person1#: I want to return this book and check out this video.,#Person2# wants to return a book and check out a video and will be fined if he damages the video.,#Person1#: I want to return this book and check out this video.
"#Person1#: What do you know about our company?
#Person2#: Well, as I know this company is one of the largest and best in this field of business. It mainly produces toys for children. It employs more than 10, 000 people throughout the world. The president now is Mr. Jackson. The Shanghai branch was founded five years ago with a staff of more than 2, 000.
#Person1#: Very good. If you enter this company, what department would you like to work in?
#Person2#: May I work in sales department?
#Person1#: OK. Oh, how much do you make at your current job, if you don't mind my asking?
#Person2#: I'm paid 2, 000 yuan per month plus some allowances and bonus as that come to about 3, 000 yuan a month. How much will you pay me?
#Person1#: Well, the starting salary for a clerk in our company is 2, 500 yuan monthly and after three months he would get a raise if his work is satisfactory.
#Person2#: Do you have any fringe benefits?
#Person1#: Sure, we provide semi-annual bonus, a small bonus at Spring Festival, four weeks paid vacation a year.
#Person2#: How about insurance and full health insurance?
#Person1#: We can buy that for you.
#Person2#: That sounds good.","#Person1# is interviewing #Person2#. They discuss department #Person2# wants to work in, salary, and fringe benefits.","If you are interested in joining our company, please fill in the form below and we will get back to you shortly.",#Person1# introduces the company's products and the salary of the sales department of the Shanghai branch. #person2# wants to work in sales department and asks about the fringe benefits of the company.,"If you are interested in joining our company, please fill in the form below and we will get back to you."
"#Person1#: Would you like to know about benefits and so forth?
#Person2#: Please. Everyone enjoys hearing the benefits of something!
#Person1#: With this agreement we can bring over you many benefits. For example, head offices of your group companies can get really prompt integrated fund transfers and centralised allocations. This helps internal supervision and admin run smoothly.
#Person2#: That is wonderful. We've been having serious problems in that area. Our internal accounts seem so messy at the moment, nothing is running smoothly and it's costing us time and money.
#Person1#: Hopefully signing up for this Network Settlement Service will solve all of that. If you are sure, we can go ahead now, Sir. How does 10 am tomorrow sound, to get all of the paperwork out of the way?",#Person1# introduces the benefits #Person2# can get from the company and makes an appointment to sign all the papers.,#Person1#: I'm sorry to hear that.,"#Person2# wants to know about benefits and so forth, but #person1# suggests signing up for the Network Settlement Service. They will go ahead with it tomorrow.",#Person1#: I'm sorry to hear that.
"#Person1#: Hi! What are you watching?
#Person2#: It's a program about islam. It's very interesting.
#Person1#: Wow! So many people! Where are they and what are they doing?
#Person2#: They are muslims on a pilgrimage to mecca. Muslims call this pilgrimage 'haj'.
#Person1#: Why do they go there?
#Person2#: Muslims believe that every man who is able should go on a haj at least once in his life. Mecca is the spiritual centre of the muslim faith.
#Person1#: When muslims pray, they face towards mecca.
#Person2#: That's right. Unfortunately, so many people go on the haj each year that there are often stamped and people get killed.
#Person1#: I heard about that. The pilgrims must walk around a large, sacred black stone.
#Person2#: That's right. That's when accidents often happen. The Saudi government tries to limit the number of pilgrims, to reduce the chances of accidents.
#Person1#: Pilgrimages are common in many faiths.
#Person2#: Yes. In England, Christian pilgrims might go to Canterbury and many Christians go to the Vatican on pilgrimages.
#Person1#: Isn't there a place in france where people go to get healed?
#Person2#: I think that place is Lourdes. There are many stories of people being healed after visiting there.
#Person1#: Do you think that there is something magical about that place?
#Person2#: Personally. I think that people believe they will be healed and that faith causes a change in their mind that cures them. I don't think place is magical in any way.",#Person2# watches a program about Muslim pilgrims and talks about how pilgrims are like in other religion with #Person1#,People believe they will be healed after visiting a place.,"#Person2# is watching a program about islam and tells the audience about the pilgrimage to Mecca. The Saudi government tries to limit the number of pilgrims to reduce the chances of accidents. The pilgrims must walk around a large, sacred black stone and there is a place in France where people get healed.",People believe they will be healed after visiting a place.
"#Person1#: are you working overtime again? Over the last two weeks, you have worked overtime every day without a break! Your company is draining the life out of you!
#Person2#: I know, but I don't have a choice, my boss has complete control over our work schedules. I haven't made it out of the office before 9 PM a single day this week.
#Person1#: Well, I hope they're paying you the big bucks for all this work. . .
#Person2#: No, not exactly, I'm working for minimum wage. And they don't give extra pay for overtime. Overtime is our own time.
#Person1#: What? ! Isn't there a law against that, I think there is some legislation that requires employers to give their employees a fair rate of wages. You should know your rights! If you are putting in so many hours, they should give you some kind of compensation.
#Person2#: They do give bonuses at the end of the year for the employees with highest productivity numbers, but frankly, it's not much of an incentive. They give us a bonus of ten dollars.
#Person1#: That's just wrong! why don't you just quit?
#Person2#: I would, but I'm afraid I would't be able to find another job. I don't have very many job marketable skills, there aren't so many jobs that I'm qualified for.
#Person1#: it sounds like any job will be better than the one you have now!","#Person2# has been working overtime and only gets minimum wage. #Person1# suggests #Person2# either asking for more compensation or quitting, but #Person2# refuses in fear of not being able to find another job.","#Person1#: I'm sorry to hear that, but I haven't been able to find a new job.","#Person2# has worked overtime every day without a break for two weeks, but #person1# thinks there's no law against overtime and suggests that employers should give their employees a fair rate of wages. But they don't give bonuses at the end of the year, so they give them a bonus of ten dollars.","#Person1#: I've been working overtime for the last two weeks, and I haven't made it out of the office before 9 PM a single day this week."
"#Person1#: Hello, can I help you?
#Person2#: I'd like to rent a Toyota Carola.
#Person1#: Alright. How long will you need it?
#Person2#: For 3 days.
#Person1#: Have you ever rented a car before?
#Person2#: No, I haven't. Can I choose the color of the car?
#Person1#: Sure, we have Toyota Carola's in black, red and silver.
#Person2#: I don't like black or red.
#Person1#: Then you can have the other one. Please show me your ID card and I will copy it.
#Person2#: OK. Anything else?
#Person1#: Sign your name on the application form and here are the keys to the car.
#Person2#: Thanks. What time do I have to bring it back?
#Person1#: It needs to come back by noon on the third day.
#Person2#: Alright. Thanks.
#Person1#: Drive safely.",#Person2# rents a car from #Person1#. #Person1# helps #Person1# go through the formalities and tells #Person1# the return time.,"#Person1#: Hello, I'd like to rent a Toyota Carola for 3 days.",#Person2# wants to rent a Toyota Carola for 3 days and asks for the color and the time to bring it back.,"#Person1#: Hello, I'd like to rent a Toyota Carola for 3 days."
"#Person1#: Hello, Kate.
#Person2#: Hi, Peter. I didn't see you last night. Where did you go?
#Person1#: I was almost on line the whole night.
#Person2#: Did you play network games the whole night?
#Person1#: No, I listened to the music, too.
#Person2#: What are you going to do now?
#Person1#: I'm tired. I need a rest.",Peter tells Kate he stayed up and he's tired now.,"#Person1#: Hi, Kate.",Peter tells Kate he was almost on line the whole night. Kate asks Peter to rest.,"#Person1#: Hi, Kate."
"#Person1#: Is there a bus that'll go all the way to Sons from PHS?
#Person2#: Where is this Sons located?
#Person1#: The Sons on Fair Oaks and Orange Grove.
#Person2#: You're going to need to take two buses to get to that Sons.
#Person1#: Which buses will I have to take?
#Person2#: First, you need to get on the 268 going west.
#Person1#: Then what do I do?
#Person2#: You need to get off on Fair Oaks and Washington.
#Person1#: What's next?
#Person2#: Get on the 261, and it'll take you the rest of the way to Sons.
#Person1#: There's nothing else?
#Person2#: That's all there is to it.",#Person2# offers bus information for #Person1# to go to Sons from PHS.,#Person1#: You're going to need to take two buses to get to the Sons from PHS.,#Person2# explains to the students how to get to Sons from PHS by bus.,You're going to need to take two buses to get to Sons from PHS.
"#Person1#: You should have seen the line at the housing office. It took me an hour to make my dormitory deposit for next year. Have you made yours yet?
#Person2#: No, I'm not sure I'm going to.
#Person1#: There's not much time left. The deadline's May 1. That is just two weeks from now. Are you short of cash?
#Person2#: No, I'm Okay.
#Person1#: You'd better hurry up if you want a dorm room next September. There aren't enough rooms for every one, and first year students have priority.
#Person2#: Well, I've been thinking about living off campus.
#Person1#: Have you any idea of how much that would cost? There is the rent, utilities, and you'd probably need a car.
#Person2#: I know it would be more expensive. I think I can handle it though. The dorm is just so noisy that I can't get anything done. Maybe my grades would be better if I had some peace and quiet in a place of my own.
#Person1#: You should study in the library the way I do. Think of the money you'd save.
#Person2#: I've got to think it over some more. There's still two weeks left in April.",#Person1# and #Person2# are talking about the dormitory deposit for next year. #Person2# wants to live off campus because #Person2# wants a quiet place. #Person1# thinks it's too expensive compared with living in the school dorm room.,#Person1#: I've been thinking about moving to a dorm room.,#Person1# made the deposit for the dorm room for next year. The deadline is May 1 and #person2# has been thinking about living off campus. Then they talk about how much it would cost and how to study in the library.,"#Person1#: I've been thinking about moving to a dorm, but I'm not sure I'll be able to afford it."
"#Person1#: Excuse me. Where can I buy some cigarettes?
#Person2#: There is a shop on the ground floor. It sells both Chinese and foreign cigarettes.
#Person1#: Can I also get some souvenirs there?
#Person2#: Yes, sir. There is a counter selling all kinds of souvenirs
#Person1#: By the way, where is the men's room?
#Person2#: There is one at the end of the corridor.
#Person1#: Thank you.
#Person2#: You are welcome.","#Person1# asks #Person2# where to buy cigarettes, souvenirs, and the men's room.",There is a men's room at the end of the corridor.,#Person1# wants to buy some cigarettes and some souvenirs and asks about the shop and the men's room.,There is a men's room at the end of the corridor.
"#Person1#: Ah, ah, ah. . . . 
#Person2#: All right, Bill. Here's your daily exercise schedule. You are to jog before breakfast. 
#Person1#: Jog? 
#Person2#: Then , you are to walk to work. 
#Person1#: Walk? 
#Person2#: Thirty minutes in gym at lunch time. 
#Person1#: Oh no. 
#Person2#: Use the stairs, never the elevator. 
#Person1#: Oh , dear. 
#Person2#: And three times a week, you can either swim, play racketball , or hand ball. 
#Person1#: Oh no. 
#Person2#: OK, you can stop now. It's time for the dance class. 
#Person1#: Dance class! I don't know how. 
#Person2#: You will. 
#Person1#: Oh. . . ","#Person2# gives Bill a rigorous daily exercise schedule, and Bill finds it torturing.",I'm going to the dance class.,"Bill tells #Person2# his daily exercise schedule. He jogs before breakfast, walks to work, swims, plays racketball, or handball, and then dances.",I'm going to the dance class.
"#Person1#: Who stands out in your mind as a man or woman of sound character?
#Person2#: If I think of famous people, I think of Abraham Lincoln.
#Person1#: He's the US president, who walked five miles just to give a lady her change, isn't he?
#Person2#: That's the one. He also was famous for never giving up on his goals.
#Person1#: That's right. He ran for office quite a few times before he was finally elected.
#Person2#: And I also admire him for his courage in fighting for equal rights.
#Person1#: He had great vision, didn't he?
#Person2#: And humility. I would have liked to meet him personally.",#Person1# and #Person2# talk about Abraham Lincoln and his glorious history. They both admire him.,#Person1#: That's right. He was a man of sound character.,#Person2# thinks Abraham Lincoln is a man or woman of sound character and admires him for his courage in fighting for equal rights.,#Person1#: That's right. He was a man of sound character.
"#Person1#: Hello! I'm now trying to take a bath, but there are too many buttons, would tell me how to use them?
#Person2#: I see, we have an explanation left on the table. If you follow the direction, it's quite simple.
#Person1#: I read it, but I couldn't understand it. Would you come to my room and tell me how to use them?
#Person2#: Oh, certainly.
#Person1#: And also tell me how to use other switches.",#Person1# calls #Person2# for getting to know how to use buttons and switches so #Person1# can take a bath.,"#Person1#: Hello! I'm now trying to take a bath, but there are too many buttons, would you tell me how to use them?","#Person1# is trying to take a bath, but there are too many buttons. #person2# will tell #Pear1# how to use them and other switches.","#Person1#: Hello! I'm now trying to take a bath, but there are too many buttons, would you tell me how to use them?"
"#Person1#: Hi, Tony. You look unhappy. What's wrong?
#Person2#: Oh, Steven, I made a big mistake.
#Person1#: What happened?
#Person2#: I really wish I hadn't done it.
#Person1#: What on earth are you talking about?
#Person2#: I got caught cheating. I feel so ashamed. The teacher saw me and told me I failed.
#Person1#: What were you thinking?
#Person2#: You know my father. If I fail, he'll kill me. I have to do well.
#Person1#: But what you should do is study hard.
#Person2#: I know. . . I know. . . it's all my fault. I feel awful that I didn't study, and I cheated, and I got caught.
#Person1#: So long as you learn from your mistakes.",Tony got caught cheating and feels ashamed. Steven tells him to learn from it and study hard.,"#Person1#: Hi, Steven. You look unhappy. What's wrong?",Tony tells Steven he made a big mistake because he got caught cheating. Steven encourages Tony to learn from his mistakes.,"#Person1#: Hi, Steven. You look unhappy. What's wrong?"
"#Person1#: May I take your order now?
#Person2#: Yes, I'll have a boiled egg with toast and orange juice, please.
#Person1#: How would you like your eggs?
#Person2#: Hard-boiled, please.
#Person1#: And your toast, light or dark?
#Person2#: Dark, please.
#Person1#: Now or later?
#Person2#: Later will do.
#Person1#: Will there be anything else?
#Person2#: No, that's all. Thanks.
#Person1#: One hard-boiled egg with toast and orange juice to follow.
#Person2#: That's right.
#Person1#: Just a moment, please.",#Person1# helps #Person2# order one hard-boiled egg with dark toast and orange juice to follow.,#Person1: One hard-boiled egg with toast and orange juice to follow.,#Person2# orders a hard-boiled egg with toast and orange juice with #person1#'s assistance.,#Person1: One hard-boiled egg with toast and orange juice.
